Column,Row,Angle,P(Location)
0,0,0.0,0.0009765625
0,0,11.25,0.0009765625
0,0,22.5,0.0009765625
0,0,33.75,0.0009765625
0,0,45.0,0.0009765625
0,0,56.25,0.0009765625
0,0,67.5,0.0009765625
0,0,78.75,0.0009765625
0,0,90.0,0.0009765625
0,0,101.25,0.0009765625
0,0,112.5,0.0009765625
0,0,123.75,0.0009765625
0,0,135.0,0.0009765625
0,0,146.25,0.0009765625
0,0,157.5,0.0009765625
0,0,168.75,0.0009765625
0,0,180.0,0.0009765625
0,0,191.25,0.0009765625
0,0,202.5,0.0009765625
0,0,213.75,0.0009765625
0,0,225.0,0.0009765625
0,0,236.25,0.0009765625
0,0,247.5,0.0009765625
0,0,258.75,0.0009765625
0,0,270.0,0.0009765625
0,0,281.25,0.0009765625
0,0,292.5,0.0009765625
0,0,303.75,0.0009765625
0,0,315.0,0.0009765625
0,0,326.25,0.0009765625
0,0,337.5,0.0009765625
0,0,348.75,0.0009765625
0,1,0.0,0.0009765625
0,1,11.25,0.0009765625
0,1,22.5,0.0009765625
0,1,33.75,0.0009765625
0,1,45.0,0.0009765625
0,1,56.25,0.0009765625
0,1,67.5,0.0009765625
0,1,78.75,0.0009765625
0,1,90.0,0.0009765625
0,1,101.25,0.0009765625
0,1,112.5,0.0009765625
0,1,123.75,0.0009765625
0,1,135.0,0.0009765625
0,1,146.25,0.0009765625
0,1,157.5,0.0009765625
0,1,168.75,0.0009765625
0,1,180.0,0.0009765625
0,1,191.25,0.0009765625
0,1,202.5,0.0009765625
0,1,213.75,0.0009765625
0,1,225.0,0.0009765625
0,1,236.25,0.0009765625
0,1,247.5,0.0009765625
0,1,258.75,0.0009765625
0,1,270.0,0.0009765625
0,1,281.25,0.0009765625
0,1,292.5,0.0009765625
0,1,303.75,0.0009765625
0,1,315.0,0.0009765625
0,1,326.25,0.0009765625
0,1,337.5,0.0009765625
0,1,348.75,0.0009765625
0,2,0.0,0.0009765625
0,2,11.25,0.0009765625
0,2,22.5,0.0009765625
0,2,33.75,0.0009765625
0,2,45.0,0.0009765625
0,2,56.25,0.0009765625
0,2,67.5,0.0009765625
0,2,78.75,0.0009765625
0,2,90.0,0.0009765625
0,2,101.25,0.0009765625
0,2,112.5,0.0009765625
0,2,123.75,0.0009765625
0,2,135.0,0.0009765625
0,2,146.25,0.0009765625
0,2,157.5,0.0009765625
0,2,168.75,0.0009765625
0,2,180.0,0.0009765625
0,2,191.25,0.0009765625
0,2,202.5,0.0009765625
0,2,213.75,0.0009765625
0,2,225.0,0.0009765625
0,2,236.25,0.0009765625
0,2,247.5,0.0009765625
0,2,258.75,0.0009765625
0,2,270.0,0.0009765625
0,2,281.25,0.0009765625
0,2,292.5,0.0009765625
0,2,303.75,0.0009765625
0,2,315.0,0.0009765625
0,2,326.25,0.0009765625
0,2,337.5,0.0009765625
0,2,348.75,0.0009765625
0,3,0.0,0.0009765625
0,3,11.25,0.0009765625
0,3,22.5,0.0009765625
0,3,33.75,0.0009765625
0,3,45.0,0.0009765625
0,3,56.25,0.0009765625
0,3,67.5,0.0009765625
0,3,78.75,0.0009765625
0,3,90.0,0.0009765625
0,3,101.25,0.0009765625
0,3,112.5,0.0009765625
0,3,123.75,0.0009765625
0,3,135.0,0.0009765625
0,3,146.25,0.0009765625
0,3,157.5,0.0009765625
0,3,168.75,0.0009765625
0,3,180.0,0.0009765625
0,3,191.25,0.0009765625
0,3,202.5,0.0009765625
0,3,213.75,0.0009765625
0,3,225.0,0.0009765625
0,3,236.25,0.0009765625
0,3,247.5,0.0009765625
0,3,258.75,0.0009765625
0,3,270.0,0.0009765625
0,3,281.25,0.0009765625
0,3,292.5,0.0009765625
0,3,303.75,0.0009765625
0,3,315.0,0.0009765625
0,3,326.25,0.0009765625
0,3,337.5,0.0009765625
0,3,348.75,0.0009765625
0,4,0.0,0.0009765625
0,4,11.25,0.0009765625
0,4,22.5,0.0009765625
0,4,33.75,0.0009765625
0,4,45.0,0.0009765625
0,4,56.25,0.0009765625
0,4,67.5,0.0009765625
0,4,78.75,0.0009765625
0,4,90.0,0.0009765625
0,4,101.25,0.0009765625
0,4,112.5,0.0009765625
0,4,123.75,0.0009765625
0,4,135.0,0.0009765625
0,4,146.25,0.0009765625
0,4,157.5,0.0009765625
0,4,168.75,0.0009765625
0,4,180.0,0.0009765625
0,4,191.25,0.0009765625
0,4,202.5,0.0009765625
0,4,213.75,0.0009765625
0,4,225.0,0.0009765625
0,4,236.25,0.0009765625
0,4,247.5,0.0009765625
0,4,258.75,0.0009765625
0,4,270.0,0.0009765625
0,4,281.25,0.0009765625
0,4,292.5,0.0009765625
0,4,303.75,0.0009765625
0,4,315.0,0.0009765625
0,4,326.25,0.0009765625
0,4,337.5,0.0009765625
0,4,348.75,0.0009765625
0,5,0.0,0.0009765625
0,5,11.25,0.0009765625
0,5,22.5,0.0009765625
0,5,33.75,0.0009765625
0,5,45.0,0.0009765625
0,5,56.25,0.0009765625
0,5,67.5,0.0009765625
0,5,78.75,0.0009765625
0,5,90.0,0.0009765625
0,5,101.25,0.0009765625
0,5,112.5,0.0009765625
0,5,123.75,0.0009765625
0,5,135.0,0.0009765625
0,5,146.25,0.0009765625
0,5,157.5,0.0009765625
0,5,168.75,0.0009765625
0,5,180.0,0.0009765625
0,5,191.25,0.0009765625
0,5,202.5,0.0009765625
0,5,213.75,0.0009765625
0,5,225.0,0.0009765625
0,5,236.25,0.0009765625
0,5,247.5,0.0009765625
0,5,258.75,0.0009765625
0,5,270.0,0.0009765625
0,5,281.25,0.0009765625
0,5,292.5,0.0009765625
0,5,303.75,0.0009765625
0,5,315.0,0.0009765625
0,5,326.25,0.0009765625
0,5,337.5,0.0009765625
0,5,348.75,0.0009765625
0,6,0.0,0.0009765625
0,6,11.25,0.0009765625
0,6,22.5,0.0009765625
0,6,33.75,0.0009765625
0,6,45.0,0.0009765625
0,6,56.25,0.0009765625
0,6,67.5,0.0009765625
0,6,78.75,0.0009765625
0,6,90.0,0.0009765625
0,6,101.25,0.0009765625
0,6,112.5,0.0009765625
0,6,123.75,0.0009765625
0,6,135.0,0.0009765625
0,6,146.25,0.0009765625
0,6,157.5,0.0009765625
0,6,168.75,0.0009765625
0,6,180.0,0.0009765625
0,6,191.25,0.0009765625
0,6,202.5,0.0009765625
0,6,213.75,0.0009765625
0,6,225.0,0.0009765625
0,6,236.25,0.0009765625
0,6,247.5,0.0009765625
0,6,258.75,0.0009765625
0,6,270.0,0.0009765625
0,6,281.25,0.0009765625
0,6,292.5,0.0009765625
0,6,303.75,0.0009765625
0,6,315.0,0.0009765625
0,6,326.25,0.0009765625
0,6,337.5,0.0009765625
0,6,348.75,0.0009765625
0,7,0.0,0.0009765625
0,7,11.25,0.0009765625
0,7,22.5,0.0009765625
0,7,33.75,0.0009765625
0,7,45.0,0.0009765625
0,7,56.25,0.0009765625
0,7,67.5,0.0009765625
0,7,78.75,0.0009765625
0,7,90.0,0.0009765625
0,7,101.25,0.0009765625
0,7,112.5,0.0009765625
0,7,123.75,0.0009765625
0,7,135.0,0.0009765625
0,7,146.25,0.0009765625
0,7,157.5,0.0009765625
0,7,168.75,0.0009765625
0,7,180.0,0.0009765625
0,7,191.25,0.0009765625
0,7,202.5,0.0009765625
0,7,213.75,0.0009765625
0,7,225.0,0.0009765625
0,7,236.25,0.0009765625
0,7,247.5,0.0009765625
0,7,258.75,0.0009765625
0,7,270.0,0.0009765625
0,7,281.25,0.0009765625
0,7,292.5,0.0009765625
0,7,303.75,0.0009765625
0,7,315.0,0.0009765625
0,7,326.25,0.0009765625
0,7,337.5,0.0009765625
0,7,348.75,0.0009765625
1,0,0.0,0.0009765625
1,0,11.25,0.0009765625
1,0,22.5,0.0009765625
1,0,33.75,0.0009765625
1,0,45.0,0.0009765625
1,0,56.25,0.0009765625
1,0,67.5,0.0009765625
1,0,78.75,0.0009765625
1,0,90.0,0.0009765625
1,0,101.25,0.0009765625
1,0,112.5,0.0009765625
1,0,123.75,0.0009765625
1,0,135.0,0.0009765625
1,0,146.25,0.0009765625
1,0,157.5,0.0009765625
1,0,168.75,0.0009765625
1,0,180.0,0.0009765625
1,0,191.25,0.0009765625
1,0,202.5,0.0009765625
1,0,213.75,0.0009765625
1,0,225.0,0.0009765625
1,0,236.25,0.0009765625
1,0,247.5,0.0009765625
1,0,258.75,0.0009765625
1,0,270.0,0.0009765625
1,0,281.25,0.0009765625
1,0,292.5,0.0009765625
1,0,303.75,0.0009765625
1,0,315.0,0.0009765625
1,0,326.25,0.0009765625
1,0,337.5,0.0009765625
1,0,348.75,0.0009765625
1,1,0.0,0.0009765625
1,1,11.25,0.0009765625
1,1,22.5,0.0009765625
1,1,33.75,0.0009765625
1,1,45.0,0.0009765625
1,1,56.25,0.0009765625
1,1,67.5,0.0009765625
1,1,78.75,0.0009765625
1,1,90.0,0.0009765625
1,1,101.25,0.0009765625
1,1,112.5,0.0009765625
1,1,123.75,0.0009765625
1,1,135.0,0.0009765625
1,1,146.25,0.0009765625
1,1,157.5,0.0009765625
1,1,168.75,0.0009765625
1,1,180.0,0.0009765625
1,1,191.25,0.0009765625
1,1,202.5,0.0009765625
1,1,213.75,0.0009765625
1,1,225.0,0.0009765625
1,1,236.25,0.0009765625
1,1,247.5,0.0009765625
1,1,258.75,0.0009765625
1,1,270.0,0.0009765625
1,1,281.25,0.0009765625
1,1,292.5,0.0009765625
1,1,303.75,0.0009765625
1,1,315.0,0.0009765625
1,1,326.25,0.0009765625
1,1,337.5,0.0009765625
1,1,348.75,0.0009765625
1,2,0.0,0.0009765625
1,2,11.25,0.0009765625
1,2,22.5,0.0009765625
1,2,33.75,0.0009765625
1,2,45.0,0.0009765625
1,2,56.25,0.0009765625
1,2,67.5,0.0009765625
1,2,78.75,0.0009765625
1,2,90.0,0.0009765625
1,2,101.25,0.0009765625
1,2,112.5,0.0009765625
1,2,123.75,0.0009765625
1,2,135.0,0.0009765625
1,2,146.25,0.0009765625
1,2,157.5,0.0009765625
1,2,168.75,0.0009765625
1,2,180.0,0.0009765625
1,2,191.25,0.0009765625
1,2,202.5,0.0009765625
1,2,213.75,0.0009765625
1,2,225.0,0.0009765625
1,2,236.25,0.0009765625
1,2,247.5,0.0009765625
1,2,258.75,0.0009765625
1,2,270.0,0.0009765625
1,2,281.25,0.0009765625
1,2,292.5,0.0009765625
1,2,303.75,0.0009765625
1,2,315.0,0.0009765625
1,2,326.25,0.0009765625
1,2,337.5,0.0009765625
1,2,348.75,0.0009765625
1,3,0.0,0.0009765625
1,3,11.25,0.0009765625
1,3,22.5,0.0009765625
1,3,33.75,0.0009765625
1,3,45.0,0.0009765625
1,3,56.25,0.0009765625
1,3,67.5,0.0009765625
1,3,78.75,0.0009765625
1,3,90.0,0.0009765625
1,3,101.25,0.0009765625
1,3,112.5,0.0009765625
1,3,123.75,0.0009765625
1,3,135.0,0.0009765625
1,3,146.25,0.0009765625
1,3,157.5,0.0009765625
1,3,168.75,0.0009765625
1,3,180.0,0.0009765625
1,3,191.25,0.0009765625
1,3,202.5,0.0009765625
1,3,213.75,0.0009765625
1,3,225.0,0.0009765625
1,3,236.25,0.0009765625
1,3,247.5,0.0009765625
1,3,258.75,0.0009765625
1,3,270.0,0.0009765625
1,3,281.25,0.0009765625
1,3,292.5,0.0009765625
1,3,303.75,0.0009765625
1,3,315.0,0.0009765625
1,3,326.25,0.0009765625
1,3,337.5,0.0009765625
1,3,348.75,0.0009765625
1,4,0.0,0.0009765625
1,4,11.25,0.0009765625
1,4,22.5,0.0009765625
1,4,33.75,0.0009765625
1,4,45.0,0.0009765625
1,4,56.25,0.0009765625
1,4,67.5,0.0009765625
1,4,78.75,0.0009765625
1,4,90.0,0.0009765625
1,4,101.25,0.0009765625
1,4,112.5,0.0009765625
1,4,123.75,0.0009765625
1,4,135.0,0.0009765625
1,4,146.25,0.0009765625
1,4,157.5,0.0009765625
1,4,168.75,0.0009765625
1,4,180.0,0.0009765625
1,4,191.25,0.0009765625
1,4,202.5,0.0009765625
1,4,213.75,0.0009765625
1,4,225.0,0.0009765625
1,4,236.25,0.0009765625
1,4,247.5,0.0009765625
1,4,258.75,0.0009765625
1,4,270.0,0.0009765625
1,4,281.25,0.0009765625
1,4,292.5,0.0009765625
1,4,303.75,0.0009765625
1,4,315.0,0.0009765625
1,4,326.25,0.0009765625
1,4,337.5,0.0009765625
1,4,348.75,0.0009765625
1,5,0.0,0.0009765625
1,5,11.25,0.0009765625
1,5,22.5,0.0009765625
1,5,33.75,0.0009765625
1,5,45.0,0.0009765625
1,5,56.25,0.0009765625
1,5,67.5,0.0009765625
1,5,78.75,0.0009765625
1,5,90.0,0.0009765625
1,5,101.25,0.0009765625
1,5,112.5,0.0009765625
1,5,123.75,0.0009765625
1,5,135.0,0.0009765625
1,5,146.25,0.0009765625
1,5,157.5,0.0009765625
1,5,168.75,0.0009765625
1,5,180.0,0.0009765625
1,5,191.25,0.0009765625
1,5,202.5,0.0009765625
1,5,213.75,0.0009765625
1,5,225.0,0.0009765625
1,5,236.25,0.0009765625
1,5,247.5,0.0009765625
1,5,258.75,0.0009765625
1,5,270.0,0.0009765625
1,5,281.25,0.0009765625
1,5,292.5,0.0009765625
1,5,303.75,0.0009765625
1,5,315.0,0.0009765625
1,5,326.25,0.0009765625
1,5,337.5,0.0009765625
1,5,348.75,0.0009765625
1,6,0.0,0.0009765625
1,6,11.25,0.0009765625
1,6,22.5,0.0009765625
1,6,33.75,0.0009765625
1,6,45.0,0.0009765625
1,6,56.25,0.0009765625
1,6,67.5,0.0009765625
1,6,78.75,0.0009765625
1,6,90.0,0.0009765625
1,6,101.25,0.0009765625
1,6,112.5,0.0009765625
1,6,123.75,0.0009765625
1,6,135.0,0.0009765625
1,6,146.25,0.0009765625
1,6,157.5,0.0009765625
1,6,168.75,0.0009765625
1,6,180.0,0.0009765625
1,6,191.25,0.0009765625
1,6,202.5,0.0009765625
1,6,213.75,0.0009765625
1,6,225.0,0.0009765625
1,6,236.25,0.0009765625
1,6,247.5,0.0009765625
1,6,258.75,0.0009765625
1,6,270.0,0.0009765625
1,6,281.25,0.0009765625
1,6,292.5,0.0009765625
1,6,303.75,0.0009765625
1,6,315.0,0.0009765625
1,6,326.25,0.0009765625
1,6,337.5,0.0009765625
1,6,348.75,0.0009765625
1,7,0.0,0.0009765625
1,7,11.25,0.0009765625
1,7,22.5,0.0009765625
1,7,33.75,0.0009765625
1,7,45.0,0.0009765625
1,7,56.25,0.0009765625
1,7,67.5,0.0009765625
1,7,78.75,0.0009765625
1,7,90.0,0.0009765625
1,7,101.25,0.0009765625
1,7,112.5,0.0009765625
1,7,123.75,0.0009765625
1,7,135.0,0.0009765625
1,7,146.25,0.0009765625
1,7,157.5,0.0009765625
1,7,168.75,0.0009765625
1,7,180.0,0.0009765625
1,7,191.25,0.0009765625
1,7,202.5,0.0009765625
1,7,213.75,0.0009765625
1,7,225.0,0.0009765625
1,7,236.25,0.0009765625
1,7,247.5,0.0009765625
1,7,258.75,0.0009765625
1,7,270.0,0.0009765625
1,7,281.25,0.0009765625
1,7,292.5,0.0009765625
1,7,303.75,0.0009765625
1,7,315.0,0.0009765625
1,7,326.25,0.0009765625
1,7,337.5,0.0009765625
